CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
osmosis,osmosis-dex,2023-11-29,12161,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,USDC,0.9997335448,-2678952.364741,-2678238.54404639,893858.455516,893620.282313669,-1785093.909225,-1784618.26173272
osmosis,osmosis-dex,2023-11-29,5277,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,USDC.axl,1,-1799482.173487,-1799482.173487,201592.814418,201592.814418,-1597889.359069,-1597889.359069
osmosis,osmosis-dex,2023-11-29,17,ibc/52C57FCA7D6854AA178E7A183DDBE4EF322B904B1D719FC485F6FFBC1F72A19E,GLTO,0.0009594706665,-410142.88753,-393.520069644,0,0,-410142.88753,-393.520069644
osmosis,osmosis-dex,2023-11-29,234,ibc/785AFEC6B3741100D15E7AF01374E3C4C36F24888E96479B1C33F5C71F364EF9,LUNA,0.7709086913,-7660.358975,-5905.437311963,2770.205655,2135.575616004,-4890.15332,-3769.861695959
osmosis,osmosis-dex,2023-11-29,1,ibc/56B988C4D934FB7503F5EA9B440C75D489C8AD5D193715B477BEC4F84B8BBA2A,SUMMIT,0.000003922075628,-83970.172527,-0.3293373671,0,0,-83970.172527,-0.3293373671
osmosis,osmosis-dex,2023-11-29,8,ibc/6727B2F071643B3841BD535ECDD4ED9CAE52ABDD0DCD07C3630811A7A37B215C,KSM,24.25817676,-0.394405452,-9.567557169,0.3953207366,9.589760305,0.000915284586,0.02220313527
osmosis,osmosis-dex,2023-11-29,17,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,PHMN,12.974769479,-67.943498,-881.551224178,28.841362,374.210023424,-39.102136,-507.341200755
osmosis,osmosis-dex,2023-11-29,12,ibc/2FBAC4BF296D7844796844B35978E5899984BA5A6314B2DD8F83C215550010B3,WYND,0.005004489475,-16949.0561,-84.821372856,0,0,-16949.0561,-84.821372856
osmosis,osmosis-dex,2023-11-29,81,ibc/1CDF9C7D073DD59ED06F15DB08CC0901F2A24759BE70463570E8896F9A444ADF,RIO,0.6941817753,-9879.841555913,-6858.40595098,950.544625587,659.850755693,-8929.296930327,-6198.555195287
osmosis,osmosis-dex,2023-11-29,13,ibc/C360EF34A86D334F625E4CBB7DA3223AEA97174B61F35BB3758081A8160F7D9B,ODIN,0.03081302889,-15047.329645,-463.653803112,4.393135,0.1353657957,-15042.93651,-463.518437316
osmosis,osmosis-dex,2023-11-29,1,ibc/C2A2E9CA95DDD4828B75124B5E27B8401C7D8493BC48353D418CBFC04565899B,HOPE,0.1477499077,-0.088192,-0.01303035986,0.088281,0.0130435096,0.000089,0.00001314974179
osmosis,osmosis-dex,2023-11-29,43,ibc/01E94A5FF29B8DDEFC86F412CC3927F7330E9B523CC63A6194B1108F5276025C,MEDAS,0.01784822843,-29389.881656,-524.5573214,29419.300979,525.082404197,29.419323,0.5250827972
osmosis,osmosis-dex,2023-11-29,18,ibc/A76EB6ECF4E3E2D4A23C526FD1B48FDD42F171B206C9D2758EF778A7826ADD68,NCT,1.28395015,-1053.42125,-1352.540371877,739.03331,948.881929178,-314.38794,-403.658442699
osmosis,osmosis-dex,2023-11-29,1,ibc/D27DDDF34BB47E5D5A570742CC667DE53277867116CCCA341F27785E899A70F3,MKR,1109.976769842,-0.0001810674962,-0.2009807146,0,0,-0.0001810674962,-0.2009807146
osmosis,osmosis-dex,2023-11-29,431,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,EVMOS,0.0748606287,-830844.25794569,-62197.523502303,41314.614902264,3092.838046117,-789529.643043426,-59104.685456186
osmosis,osmosis-dex,2023-11-29,7,ibc/4F24D904BAB5FFBD3524F2DE3EC3C7A9E687A2408D9A985E57B356D9FA9201C6,FOX,0.002105077093,-3411.269371,-7.180985011,2538.14557,5.342992098,-873.123801,-1.837992913
osmosis,osmosis-dex,2023-11-29,2,ibc/307E5C96C8F60D1CBEE269A9A86C0834E1DB06F2B3788AE4F716EDB97A48B97D,DIG,0.0002204468444,-285759.362111,-62.994749648,0,0,-285759.362111,-62.994749648
