CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
terra,platform-placeholder,2023-11-29,4339,ibc/B3504E092456BA618CC28AC671A71FB08C6CA0FD0BE7C8A5B5A3E2DD933CC9E4,USDC.axl,1,-1338988.804904,-1338988.804904,51628.944701,51628.944701,-1287359.860203,-1287359.860203
terra,platform-placeholder,2023-11-29,499,ibc/36A02FFC4E74DF4F64305130C3DFA1B06BEAC775648927AA44467C76A77AB8DB,WHALE,0.02009693608,-1587112.007078,-31896.088557507,764582.961866,15365.774912218,-822529.045212,-16530.313645289
terra,platform-placeholder,2023-11-29,4,ibc/08095CEDEA29977C9DD0CE9A48329FDA622C183359D5F90CF04CC4FF80CBE431,stLUNA,0.7709508405,-0.460248,-0.3548285824,0.07744,0.05970243309,-0.382808,-0.2951261494
terra,platform-placeholder,2023-11-29,100,ibc/CBF67A2BCF6CAE343FDF251E510C8E18C361FC02B23430C121116E0811835DEF,USDT.axl,1.000966138,-4486.449867,-4490.784395762,1758.88483,1760.584155104,-2727.565037,-2730.200240659
terra,platform-placeholder,2023-11-29,1379,ibc/05D299885B07905B6886F554B39346EA6761246076A1120B1950049B92B922DD,WBTC,37933.579342407,-8.24595026,-312798.408441251,0.06687664,2536.870329594,-8.17907362,-310261.538111657
terra,platform-placeholder,2023-11-29,475,ibc/BC8A77AFBD872FDC32A348D3FB10CC09277C266CFE52081DE341C7EC6752E674,ETH,2052.712667495,-54.621969381,-112123.208472398,0.008481710732,17.410515061,-54.61348767,-112105.797957337
terra,platform-placeholder,2023-11-29,6,ibc/B22B4DD21586965DAEF42A7600BA371EA77C02E90FC8A7F2330BF9F9DE129B07,KUJI,3.321400732,-3.370531,-11.194884131,0.961619,3.19392205,-2.408912,-8.00096208
terra,platform-placeholder,2023-11-29,125,ibc/0471F1C4E7AFD3F07702BEF6DC365268D64570F7C1FDC98EA6098DD6DE59817B,OSMO,0.6653700513,-22930.758802,-15257.44016014,24.174033,16.084677577,-22906.584769,-15241.355482563
terra,platform-placeholder,2023-11-29,3,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,ATOM,9.217591915,-0.104545,-0.9636531467,0.000998,0.009199156731,-0.103547,-0.95445399
terra,platform-placeholder,2023-11-29,5,ibc/517E13F14A1245D4DE8CF467ADD4DA0058974CDCC880FA6AE536DBCA1D16D84E,bWHALE,"null",-325.137471,"null","null","null","null","null"
terra,platform-placeholder,2023-11-29,17,ibc/B3F639855EE7478750CC8F82072307ED6E131A8EFF20345E1D136B50C4E5EC36,ampWHALE,"null",-105671.734965,"null","null","null","null","null"
terra,platform-placeholder,2023-11-28,115,ibc/CBF67A2BCF6CAE343FDF251E510C8E18C361FC02B23430C121116E0811835DEF,USDT.axl,1.000105457,-5645.983449,-5646.578859851,1779.202581,1779.390211115,-3866.780868,-3867.188648736
terra,platform-placeholder,2023-11-28,1023,ibc/BC8A77AFBD872FDC32A348D3FB10CC09277C266CFE52081DE341C7EC6752E674,ETH,2035.065849089,-117.036250958,-238176.477429718,0.006112290035,12.43891271,-117.030138668,-238164.038517008
terra,platform-placeholder,2023-11-28,3870,ibc/B3504E092456BA618CC28AC671A71FB08C6CA0FD0BE7C8A5B5A3E2DD933CC9E4,USDC.axl,1,-1159682.133672,-1159682.133672,120440.715095,120440.715095,-1039241.418577,-1039241.418577
terra,platform-placeholder,2023-11-28,1130,ibc/05D299885B07905B6886F554B39346EA6761246076A1120B1950049B92B922DD,WBTC,37382.416666667,-6.1518597,-229971.382580275,0.08593913,3212.612365631,-6.06592057,-226758.770214644
terra,platform-placeholder,2023-11-28,4,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,ATOM,9.117916667,-0.100775,-0.9188580521,0.088559,0.8074735821,-0.012216,-0.11138447
terra,platform-placeholder,2023-11-28,8,ibc/08095CEDEA29977C9DD0CE9A48329FDA622C183359D5F90CF04CC4FF80CBE431,stLUNA,0.7291306848,-3208.950294,-2339.744125412,"null","null","null","null"
terra,platform-placeholder,2023-11-28,275,ibc/36A02FFC4E74DF4F64305130C3DFA1B06BEAC775648927AA44467C76A77AB8DB,WHALE,0.02208849351,-726643.937413,-16050.46989612,277539.360741,6130.426368685,-449104.576672,-9920.043527435
terra,platform-placeholder,2023-11-28,88,ibc/0471F1C4E7AFD3F07702BEF6DC365268D64570F7C1FDC98EA6098DD6DE59817B,OSMO,0.6359840833,-23591.461199,-15003.79382514,7.651588,4.86628818,-23583.809611,-14998.92753696
terra,platform-placeholder,2023-11-28,9,ibc/B3F639855EE7478750CC8F82072307ED6E131A8EFF20345E1D136B50C4E5EC36,ampWHALE,"null",-9965.565917,"null","null","null","null","null"
terra,platform-placeholder,2023-11-28,6,ibc/517E13F14A1245D4DE8CF467ADD4DA0058974CDCC880FA6AE536DBCA1D16D84E,bWHALE,"null",-11427.760224,"null","null","null","null","null"
terra,platform-placeholder,2023-11-28,4,ibc/A356EC90DC3AE43D485514DA7260EDC7ABB5CFAA0654CE2524C739392975AD3C,"null","null",0,"null",0,"null",0,"null"
terra,platform-placeholder,2023-11-27,3,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,ATOM,9.3775,-0.109033,-1.022456958,0.108947,1.021650493,-0.000086,-0.000806465
terra,platform-placeholder,2023-11-27,1,ibc/F6FADDC637C1F7CDF392B7E57C0A4B4C126C428692498B77938533C52F01CDFB,KAVA,0.7653929005,-0.5,-0.3826964503,"null","null","null","null"
terra,platform-placeholder,2023-11-27,4,ibc/A356EC90DC3AE43D485514DA7260EDC7ABB5CFAA0654CE2524C739392975AD3C,"null","null",0,"null",0,"null",0,"null"
terra,platform-placeholder,2023-11-27,28,ibc/B3F639855EE7478750CC8F82072307ED6E131A8EFF20345E1D136B50C4E5EC36,ampWHALE,"null",-100069.04812,"null","null","null","null","null"
terra,platform-placeholder,2023-11-27,9103,ibc/B3504E092456BA618CC28AC671A71FB08C6CA0FD0BE7C8A5B5A3E2DD933CC9E4,USDC.axl,1,-2603861.265801,-2603861.265801,279126.983005,279126.983005,-2324734.282796,-2324734.282796
terra,platform-placeholder,2023-11-27,9,ibc/08095CEDEA29977C9DD0CE9A48329FDA622C183359D5F90CF04CC4FF80CBE431,stLUNA,0.7887366568,-2877.223131,-2269.371353136,"null","null","null","null"
terra,platform-placeholder,2023-11-27,1302,ibc/BC8A77AFBD872FDC32A348D3FB10CC09277C266CFE52081DE341C7EC6752E674,ETH,2032.705492466,-177.306247795,-360411.383742233,7.597921674,15444.337118775,-169.708326121,-344967.046623458
terra,platform-placeholder,2023-11-27,1,ibc/1E6C27CE5A5C42F1D0BC946CE267425896F1B9EE42C9A69B1238A55210CB79EA,"null","null",0,"null",0,"null",0,"null"
terra,platform-placeholder,2023-11-27,680,ibc/36A02FFC4E74DF4F64305130C3DFA1B06BEAC775648927AA44467C76A77AB8DB,WHALE,0.02283637187,-1496716.529289,-34179.575246494,1007391.063134,23005.156936024,-489325.466155,-11174.41831047
terra,platform-placeholder,2023-11-27,284,ibc/CBF67A2BCF6CAE343FDF251E510C8E18C361FC02B23430C121116E0811835DEF,USDT.axl,1.000043129,-6627.534695,-6627.820537251,5143.092052,5143.313870983,-1484.442643,-1484.506666267
terra,platform-placeholder,2023-11-27,230,ibc/0471F1C4E7AFD3F07702BEF6DC365268D64570F7C1FDC98EA6098DD6DE59817B,OSMO,0.6521330833,-59064.329138,-38517.803075779,39.785794,25.945632514,-59024.543344,-38491.857443265
terra,platform-placeholder,2023-11-27,1,ibc/BCB139B1FB690E0AC1AD98EBAAD281949ECB341872E697717BCF95B67917C34F,CMST,0.9505237998,-0.024798,-0.02357108919,0.024798,0.02357108919,0,0
